SessionID,Cluster,Steps,InitBKT,FinalBKT,GainBKT,TrueGain,Hints,Errors
sim_cluster_0_122_1766737325,Struggling_Persisting,10,0.2,0.17378629396598325,-0.026213706034016765,0.0,0,8
sim_cluster_0_124_1766737327,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,8
sim_cluster_0_120_1766737325,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,8
sim_cluster_0_125_1766737327,Struggling_Persisting,10,0.2,0.17203644424780234,-0.027963555752197666,0.0,0,8
sim_cluster_0_129_1766737329,Struggling_Persisting,10,0.2,0.8762180964183302,0.6762180964183302,0.0,0,6
sim_cluster_0_116_1766737321,Struggling_Persisting,10,0.1,0.1714306869275862,0.0714306869275862,0.0,0,8
sim_cluster_0_123_1766737325,Struggling_Persisting,10,0.2,0.26911264226947385,0.06911264226947383,0.0,0,7
sim_cluster_0_115_1766737321,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,7
sim_cluster_0_135_1766737333,Struggling_Persisting,5,0.2,0.9736111528641033,0.7736111528641032,0.0,0,2
sim_cluster_0_130_1766737329,Struggling_Persisting,10,0.1,0.17178192246797905,0.07178192246797904,0.0,1,7
sim_cluster_0_119_1766737324,Struggling_Persisting,10,0.1,0.18694433068780603,0.08694433068780602,0.0,0,8
sim_cluster_0_121_1766737325,Struggling_Persisting,10,0.2,0.1869433456281835,-0.013056654371816523,0.0,0,9
sim_cluster_0_134_1766737332,Struggling_Persisting,10,0.2,0.1714287363873539,-0.028571263612646114,0.0,0,9
sim_cluster_0_133_1766737332,Struggling_Persisting,10,0.1,0.2688723993013652,0.1688723993013652,0.0,1,6
sim_cluster_0_128_1766737328,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,7
sim_cluster_0_127_1766737328,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,8
sim_cluster_0_140_1766737335,Struggling_Persisting,10,0.2,0.9755691319237799,0.7755691319237799,0.0,1,5
sim_cluster_0_126_1766737327,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,9
sim_cluster_0_147_1766737337,Struggling_Persisting,10,0.1,0.8735715359992303,0.7735715359992303,0.0,0,7
sim_cluster_0_131_1766737330,Struggling_Persisting,7,0.2,0.9719445671774367,0.7719445671774368,0.0,1,3
sim_cluster_0_138_1766737334,Struggling_Persisting,10,0.2,0.26680239534415845,0.06680239534415844,0.0,0,8
sim_cluster_0_146_1766737337,Struggling_Persisting,10,0.2,0.17148478988925997,-0.02851521011074004,0.0,0,8
sim_cluster_0_136_1766737333,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,6
sim_cluster_0_139_1766737335,Struggling_Persisting,10,0.2,0.17148478988925997,-0.02851521011074004,0.0,0,8
sim_cluster_0_144_1766737337,Struggling_Persisting,10,0.2,0.27719190576031405,0.07719190576031404,0.0,0,7
sim_cluster_0_149_1766737339,Struggling_Persisting,10,0.2,0.3672316978305315,0.1672316978305315,0.0,0,7
sim_cluster_0_132_1766737330,Struggling_Persisting,10,0.1,0.26659454862402043,0.16659454862402043,0.0,0,8
sim_cluster_0_148_1766737338,Struggling_Persisting,10,0.2,0.1714287363873539,-0.028571263612646114,0.0,0,9
sim_cluster_0_145_1766737337,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,9
sim_cluster_0_137_1766737333,Struggling_Persisting,10,0.2,0.889599297199747,0.6895992971997469,0.0,0,6
sim_cluster_0_156_1766737344,Struggling_Persisting,10,0.1,0.1718130894562987,0.07181308945629869,0.0,1,7
sim_cluster_0_143_1766737337,Struggling_Persisting,10,0.2,0.17177036497127104,-0.028229635028728967,0.0,0,9
sim_cluster_0_154_1766737343,Struggling_Persisting,10,0.2,0.17142966391812006,-0.02857033608187995,0.0,0,9
sim_cluster_0_141_1766737336,Struggling_Persisting,10,0.2,0.17147885717404582,-0.028521142825954193,0.0,0,9
sim_cluster_0_151_1766737340,Struggling_Persisting,10,0.2,0.5628443531902283,0.3628443531902283,0.0,1,7
sim_cluster_0_152_1766737342,Struggling_Persisting,10,0.2,0.276112956262064,0.07611295626206399,0.0,0,8
sim_cluster_0_142_1766737337,Struggling_Persisting,10,0.1,0.17142859998559548,0.07142859998559548,0.0,0,9
sim_cluster_0_150_1766737340,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,7
sim_cluster_0_161_1766737345,Struggling_Persisting,10,0.1,0.17142975939911043,0.07142975939911042,0.0,1,8
sim_cluster_0_153_1766737342,Struggling_Persisting,10,0.2,0.17142966391812006,-0.02857033608187995,0.0,0,9
sim_cluster_0_155_1766737344,Struggling_Persisting,10,0.1,0.18701666694262453,0.08701666694262453,0.0,0,7
sim_cluster_0_157_1766737344,Struggling_Persisting,6,0.2,0.9724277120788785,0.7724277120788785,0.0,1,2
sim_cluster_0_160_1766737345,Struggling_Persisting,10,0.2,0.17375309123400468,-0.026246908765995336,0.0,0,8
sim_cluster_0_159_1766737345,Struggling_Persisting,10,0.2,0.17177629351248838,-0.02822370648751163,0.0,0,8
sim_cluster_0_168_1766737349,Struggling_Persisting,10,0.2,0.17142857156855684,-0.02857142843144317,0.0,0,10
sim_cluster_0_163_1766737347,Struggling_Persisting,10,0.1,0.17142859998559548,0.07142859998559548,0.0,0,9
sim_cluster_0_162_1766737345,Struggling_Persisting,10,0.2,0.1869433456281835,-0.013056654371816523,0.0,0,9
sim_cluster_0_158_1766737344,Struggling_Persisting,10,0.2,0.17142966391812006,-0.02857033608187995,0.0,0,9
sim_cluster_0_171_1766737351,Struggling_Persisting,10,0.1,0.8736344764803405,0.7736344764803406,0.0,0,6
sim_cluster_0_164_1766737348,Struggling_Persisting,10,0.2,0.9738626034728959,0.7738626034728959,0.0,0,6
sim_cluster_0_169_1766737351,Struggling_Persisting,10,0.2,0.9741352050033165,0.7741352050033166,0.0,0,5
sim_cluster_0_173_1766737352,Struggling_Persisting,10,0.2,0.17142857156855684,-0.02857142843144317,0.0,0,10
sim_cluster_0_175_1766737354,Struggling_Persisting,10,0.1,0.26662724883035704,0.16662724883035704,0.0,1,7
sim_cluster_0_166_1766737348,Struggling_Persisting,10,0.2,0.17174512375458664,-0.02825487624541337,0.0,1,8
sim_cluster_0_185_1766737359,Struggling_Persisting,10,0.1,0.17142975939911043,0.07142975939911042,0.0,1,8
sim_cluster_0_172_1766737351,Struggling_Persisting,10,0.2,0.17203644424780234,-0.027963555752197666,0.0,0,8
sim_cluster_0_174_1766737352,Struggling_Persisting,10,0.1,0.17152161173863187,0.07152161173863186,0.0,1,7
sim_cluster_0_177_1766737355,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,7
sim_cluster_0_178_1766737355,Struggling_Persisting,10,0.1,0.0,-0.1,0.0,0,7
sim_cluster_0_181_1766737356,Struggling_Persisting,10,0.2,0.3277251411809107,0.12772514118091066,0.0,0,7
sim_cluster_0_183_1766737357,Struggling_Persisting,10,0.1,0.8842025571562556,0.7842025571562556,0.0,1,5
sim_cluster_0_180_1766737356,Struggling_Persisting,10,0.1,0.17142859998559548,0.07142859998559548,0.0,0,9
sim_cluster_0_167_1766737349,Struggling_Persisting,10,0.2,0.2812515222601672,0.08125152226016719,0.0,1,6
sim_cluster_0_179_1766737356,Struggling_Persisting,10,0.2,0.5628443531902283,0.3628443531902283,0.0,1,7
sim_cluster_0_165_1766737348,Struggling_Persisting,10,0.2,0.17203644424780234,-0.027963555752197666,0.0,0,8
sim_cluster_0_192_1766737365,Struggling_Persisting,5,0.2,0.9736111528641033,0.7736111528641032,0.0,0,2
sim_cluster_0_170_1766737351,Struggling_Persisting,10,0.2,0.26044347538677887,0.060443475386778855,0.0,1,7
sim_cluster_0_199_1766737367,Struggling_Persisting,3,0.1,0.9773510971786833,0.8773510971786833,0.0,0,0
sim_cluster_0_176_1766737354,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,7
sim_cluster_0_188_1766737362,Struggling_Persisting,10,0.2,0.5307174575362416,0.33071745753624154,0.0,2,7
sim_cluster_0_182_1766737357,Struggling_Persisting,10,0.2,0.2515309280234669,0.05153092802346687,0.0,3,6
sim_cluster_0_184_1766737358,Struggling_Persisting,10,0.2,0.17142857156855684,-0.02857142843144317,0.0,0,10
sim_cluster_0_193_1766737366,Struggling_Persisting,10,0.1,0.17143699406615004,0.07143699406615003,0.0,0,8
sim_cluster_0_197_1766737367,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,1,7
sim_cluster_0_189_1766737364,Struggling_Persisting,10,0.2,0.17142857156855684,-0.02857142843144317,0.0,0,10
sim_cluster_0_196_1766737366,Struggling_Persisting,7,0.2,0.9836337601104665,0.7836337601104666,0.0,0,3
sim_cluster_0_187_1766737361,Struggling_Persisting,10,0.2,0.1714359710722583,-0.028564028927741708,0.0,0,9
sim_cluster_0_194_1766737366,Struggling_Persisting,10,0.2,0.17147885717404582,-0.028521142825954193,0.0,0,9
sim_cluster_0_186_1766737359,Struggling_Persisting,10,0.2,0.17142966391812006,-0.02857033608187995,0.0,0,9
sim_cluster_0_205_1766737370,Struggling_Persisting,5,0.2,0.9736111528641033,0.7736111528641032,0.0,0,2
sim_cluster_0_190_1766737364,Struggling_Persisting,10,0.1,0.18698451908514832,0.08698451908514832,0.0,1,7
sim_cluster_0_202_1766737369,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,9
sim_cluster_0_195_1766737366,Struggling_Persisting,10,0.2,0.17374719095950417,-0.026252809040495845,0.0,0,9
sim_cluster_0_191_1766737365,Struggling_Persisting,10,0.2,0.18446129381941595,-0.015538706180584061,0.0,3,6
sim_cluster_0_204_1766737370,Struggling_Persisting,5,0.1,0.9848423089068518,0.8848423089068518,0.0,0,1
sim_cluster_0_203_1766737369,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,1,7
sim_cluster_0_207_1766737373,Struggling_Persisting,10,0.2,0.32679187931005327,0.12679187931005326,0.0,0,8
sim_cluster_0_208_1766737374,Struggling_Persisting,10,0.2,0.17374719095950417,-0.026252809040495845,0.0,0,9
sim_cluster_0_201_1766737367,Struggling_Persisting,10,0.2,0.17554355066270413,-0.024456449337295877,0.0,0,8
sim_cluster_0_198_1766737367,Struggling_Persisting,10,0.2,0.17147885717404582,-0.028521142825954193,0.0,0,9
sim_cluster_0_213_1766737376,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,1,7
sim_cluster_0_217_1766737378,Struggling_Persisting,5,0.1,0.975318051118683,0.875318051118683,0.0,1,1
sim_cluster_0_211_1766737375,Struggling_Persisting,10,0.2,0.1869433456281835,-0.013056654371816523,0.0,0,9
sim_cluster_0_200_1766737367,Struggling_Persisting,10,0.2,0.2665937471117622,0.06659374711176219,0.0,0,9
sim_cluster_0_209_1766737374,Struggling_Persisting,10,0.2,0.17177629351248838,-0.02822370648751163,0.0,0,8
sim_cluster_0_212_1766737375,Struggling_Persisting,10,0.2,0.1871740159494461,-0.012825984050553907,0.0,1,7
sim_cluster_0_215_1766737377,Struggling_Persisting,10,0.2,0.17147885717404582,-0.028521142825954193,0.0,0,9
sim_cluster_0_210_1766737374,Struggling_Persisting,10,0.2,0.5443452982785291,0.34434529827852906,0.0,1,7
sim_cluster_0_219_1766737379,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,8
sim_cluster_0_226_1766737383,Struggling_Persisting,10,0.2,0.36452599360011045,0.16452599360011044,0.0,1,6
sim_cluster_0_206_1766737371,Struggling_Persisting,10,0.2,0.17142857156855684,-0.02857142843144317,0.0,0,10
sim_cluster_0_218_1766737379,Struggling_Persisting,10,0.2,0.17374719095950417,-0.026252809040495845,0.0,0,9
sim_cluster_0_221_1766737379,Struggling_Persisting,10,0.2,0.1740120017940558,-0.02598799820594422,0.0,0,8
sim_cluster_0_227_1766737384,Struggling_Persisting,10,0.2,0.1714287363873539,-0.028571263612646114,0.0,0,9
sim_cluster_0_214_1766737377,Struggling_Persisting,10,0.2,0.18868284430856092,-0.011317155691439096,0.0,0,8
sim_cluster_0_216_1766737378,Struggling_Persisting,10,0.2,0.1714359710722583,-0.028564028927741708,0.0,0,9
sim_cluster_0_220_1766737379,Struggling_Persisting,10,0.2,0.8735756516711733,0.6735756516711733,0.0,0,7
sim_cluster_0_239_1766737392,Struggling_Persisting,3,0.1,0.9773510971786833,0.8773510971786833,0.0,0,0
sim_cluster_0_225_1766737382,Struggling_Persisting,10,0.2,0.26680239534415845,0.06680239534415844,0.0,0,8
